Summary for Nearext-30:
Alpha=30.0 -> rep_w=24.6969, rep_r=30.6682, rep_ratio={2: 14.75545625, 3: 7.77799375, 4: 5.98063125}, ppl=17.5354
Alpha=10.0 -> rep_w=22.5192, rep_r=34.0317, rep_ratio={2: 15.314993749999998, 3: 7.09148125, 4: 4.7528}, ppl=16.7025
Alpha=5.0 -> rep_w=22.2719, rep_r=37.8842, rep_ratio={2: 17.651293749999997, 3: 9.10010625, 4: 6.371393750000001}, ppl=16.5515
Alpha=2.0 -> rep_w=22.3586, rep_r=41.4416, rep_ratio={2: 19.20901875, 3: 10.344793750000001, 4: 7.354425}, ppl=16.4810
Alpha=1.0 -> rep_w=23.1896, rep_r=45.3080, rep_ratio={2: 21.442206249999998, 3: 12.461187500000001, 4: 9.293906250000001}, ppl=16.4745
Alpha=0.5 -> rep_w=24.5288, rep_r=48.0354, rep_ratio={2: 22.998968750000003, 3: 13.70409375, 4: 10.23680625}, ppl=16.5093
Alpha=0.1 -> rep_w=32.3673, rep_r=58.3788, rep_ratio={2: 32.85556249999999, 3: 23.36185, 4: 18.712350000000004}, ppl=16.9981
Alpha=0.05 -> rep_w=37.7302, rep_r=57.7640, rep_ratio={2: 33.4846375, 3: 23.942518749999998, 4: 18.9525875}, ppl=17.5058

Summary for Repetative-ngrams-5:
Alpha=10.0 -> rep_w=28.1903, rep_r=46.0687, rep_ratio={2: 24.639868749999998, 3: 15.8327875, 4: 12.384668750000003}, ppl=17.3200
Alpha=5.0 -> rep_w=26.0968, rep_r=46.4918, rep_ratio={2: 23.8033875, 3: 15.03591875, 4: 11.726018749999998}, ppl=16.7173
Alpha=2.0 -> rep_w=23.7247, rep_r=46.0824, rep_ratio={2: 22.2024375, 3: 13.423075, 4: 10.231200000000001}, ppl=16.4811
Alpha=1.0 -> rep_w=23.3383, rep_r=45.4684, rep_ratio={2: 21.649175, 3: 12.5774125, 4: 9.409374999999999}, ppl=16.4745
Alpha=0.5 -> rep_w=23.0098, rep_r=43.9688, rep_ratio={2: 20.5122125, 3: 11.401943750000001, 4: 8.244306250000001}, ppl=16.5878
Alpha=0.1 -> rep_w=22.1755, rep_r=42.3774, rep_ratio={2: 18.48245625, 3: 8.94713125, 4: 5.73131875}, ppl=17.6707
Alpha=0.05 -> rep_w=22.3969, rep_r=41.2599, rep_ratio={2: 17.937250000000002, 3: 8.35509375, 4: 5.102762500000001}, ppl=18.4252
Alpha=0.01 -> rep_w=22.6412, rep_r=40.2056, rep_ratio={2: 17.418425, 3: 7.3914375, 4: 3.9659187499999997}, ppl=19.5133
